CMS Incident Date,CMS CF Issue Date,CMS Complaint Close Date Year,CMS Complainant Source Desc,CMS Complainant Gender Desc,CMS Complainant Ethnicity Desc,CMS Accused at Incd Emp Type Desc,CMS Accused at Incd Gender Desc,CMS Accused at Incd Ethnicity Desc,CMS Allegation Type Description,CMS Disposition Type Description
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,No Misconduct
,,,,,,,,,Unauthorized Tactics,Unfounded
,,,,,White,Sworn Employee,FEMALE,Black,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,MALE,Black,Sworn Employee,MALE,Asian,Biased Policing,Unfounded
,,,,,,,,Hispanic,Biased Policing,Unfounded
,"August 11, 2021",2022,Public-Person Involved,FEMALE,White,Sworn Employee,FEMALE,Black,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,MALE,Asian,Discourtesy - General,No Misconduct
,,,,,,,,,Neglect of Duty - Supervisory Duties,Unfounded
,,,,,,,,Hispanic,Neglect of Duty - Non-Supervisory Duties,Unfounded
,"August 13, 2021",2022,Public-Third Party,NULL,NULL,Sworn Employee,MALE,Black,Biased Policing,Demonstrably False
,,,,,,,,Hispanic,Biased Policing,Demonstrably False
,"August 14, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,White,Discourtesy - General,Unfounded
"August 8, 2021","August 8, 2021",2022,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Hispanic,Biased Policing,Demonstrably False
,,,,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Discourtesy - General,Mediated
,"August 10, 2021",2022,Public-Person Involved,FEMALE,Black,Sworn Employee,MALE,Hispanic,Biased Policing,Mediated
,,,,MALE,Black,Sworn Employee,MALE,Hispanic,Biased Policing,Mediated
,"August 13, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,FEMALE,Hispanic,Unbecoming Conduct - Miscellaneous,Unfounded
,,,Public-Third Party,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Unfounded
"August 9, 2021","August 9, 2021",2022,Public-Third Party,FEMALE,Black,Sworn Employee,MALE,Black,Discourtesy - General,Alternate Complaint Resolution
,"August 17, 2021",2022,Public-Person Involved,MALE,Hispanic,Sworn Employee,FEMALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Sustained
"July 27, 2014","August 10, 2021",2022,Public-Person Involved,FEMALE,White,Sworn Employee,FEMALE,White,Unauthorized Force,Insufficient Evidence to Adjudicate
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Exonerated
,,,,,,,MALE,Asian,Unauthorized Force,Insufficient Evidence to Adjudicate
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Exonerated
"August 10, 2021","August 10, 2021",2022,Public-Person Involved,FEMALE,Other,Sworn Employee,MALE,White,Discourtesy - General,No Misconduct
,,,Public-Third Party,MALE,Black,Sworn Employee,MALE,Asian,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,,Black,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,Other,Sworn Employee,FEMALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Sustained
,"August 11, 2021",2022,Public-Person Involved,NULL,NULL,Sworn Employee,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Insufficient Evidence to Adjudicate
,,,Public-Third Party,FEMALE,Hispanic,Sworn Employee,MALE,Hispanic,Sexual Misconduct,Insufficient Evidence to Adjudicate
,"August 16, 2021",2022,Public-Third Party,MALE,UNKNOWN,Sworn Employee,MALE,White,Neglect of Duty - Non-Supervisory Duties,Exonerated
,"August 17, 2021",2022,Public-Person Involved,MALE,Black,Sworn Employee,MALE,Asian,Neglect of Duty - Non-Supervisory Duties,Actions Could be Different
,,,,,,,,Hispanic,Neglect of Duty - Non-Supervisory Duties,Sustained
,,,,,,,,,Neglect of Duty - Supervisory Duties,Unfounded
,,,,,,,,,Neglect of Duty - Non-Supervisory Duties,Unfounded
,,,,,,,,,Discourtesy - General,Sustained
,,,,,,,,White,Neglect of Duty - Non-Supervisory Duties,Sustained
,,,,,,,,,Neglect of Duty - Supervisory Duties,Actions Could be Different
,,,,,,,,,Neglect of Duty - Supervisory Duties,Unfounded
,"August 24, 2021",2022,Public-Third Party,UNKNOWN,UNKNOWN,Sworn Employee,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,No Misconduct
"August 11, 2021","August 11, 2021",2022,Public-Person Involved,FEMALE,Hispanic,Sworn Employee,FEMALE,Hispanic,Unbecoming Conduct - Miscellaneous,Demonstrably False
,,,,,,,MALE,Hispanic,Discourtesy - General,Demonstrably False
,,,,MALE,Black,Sworn Employee,MALE,Hispanic,Biased Policing,Demonstrably False
,,,,,,,,,Discourtesy - General,Not Resolved
,,,,,White,Sworn Employee,MALE,Asian,Other Policy/Rule,Actions Could be Different
,,,,,,,,Hispanic,Other Policy/Rule,Actions Could be Different
,,,,,,,,White,Neglect of Duty - Non-Supervisory Duties,Unfounded
,"August 12, 2021",2022,Public-Third Party,MALE,Hispanic,Sworn Employee,FEMALE,Hispanic,Discourtesy - General,No Misconduct
,,,,,,,MALE,White,Discourtesy - General,No Misconduct
,"August 14, 2021",2022,Public-Person Involved,MALE,Hispanic,Sworn Employee,MALE,Hispanic,Discourtesy - General,Alternate Complaint Resolution
,"August 16, 2021",2022,Public-Third Party,MALE,UNKNOWN,Sworn Employee,MALE,Hispanic,Neglect of Duty - Non-Supervisory Duties,Actions Could be Different
,"August 18, 2021",2022,Public-Person Involved,FEMALE,NULL,Sworn Employee,MALE,White,Discourtesy - General,Unfounded
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Unfounded
,,,Public-Third Party,FEMALE,White,Sworn Employee,MALE,White,Discourtesy - General,Unfounded
,,,,,,,,,Unbecoming Conduct - Miscellaneous,Unfounded
"August 12, 2021","August 12, 2021",2022,Public-Person Involved,FEMALE,UNKNOWN,Sworn Employee,FEMALE,Asian,Discourtesy - General,Exonerated
,,,,NULL,Black,Sworn Employee,MALE,Asian,Biased Policing,Unfounded
,,,,,,,,,Discourtesy - General,Unfounded
,"August 13, 2021",2022,Public-Third Party,FEMALE,Black,Sworn Employee,MALE,Hispanic,Unbecoming Conduct - Miscellaneous,Unfounded
,,,,,,,,,Unauthorized Force,Unfounded
,,,,,,,,,Unauthorized Tactics,Unfounded
